cows_id,site_label,current_locationlat,current_location_lng,ebu_royal,shelter_outdoor,tower_type,tower_sytem,tower_hieght,2g_4g_lte_5g,vehicle_make,top_events,moved_date_time,moved_month_year,reached_date_time,reached_month_year,from_location,from_sub_location,from_latitude,from_longitude,to_location,to_sub_location,to_latitude,to_longitude,distance,movement_type,region_from,region_to,vendor,goverment,remarks
COW001,Normal,,,NON EBU,,,,,,,Other,15 Dec 2024,Dec-24,15 Dec 2024,Dec-24,Daraiya Hospital,Other,24.7945,46.56,Daraiya Hospital,,24.787048,46.557983,0.1,Full,Central,Central,Huawei,Asir,ON-AIR
COW001,Normal,,,EBU,,,,,,,WH,22 Mar 2021,Mar-21,23 Mar 2021,Mar-21,Prince Waleed Bin Talal Rumah,WH,25.35441,47.48777,stc EXIT 18 Riyad  WH,,24.49375,46.91106,200.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW004,Normal,,,EBU,,,,,,,WH,25 Jun 2025,Jun-25,25 Jun 2025,Jun-25,stc Al Kaj WH,WH,24.1184,47.267387,ACES Muzahmiya WH,,24.51704,46.26763,200.0,Zero,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW005,Normal,,,NON EBU,,,,,,,WH,2 Apr 2023,Apr-23,2 Apr 2023,Apr-23,Formula 1 Parking Area,WH,21.648173,39.110861,stc Jeddah WH,,21.631547,39.10799,40.0,Half,West,West,Ericsson,Ash Sharqiyah,ON-AIR
COW005,VIP,,,EBU,,,,,,,Formula 1 Saudi Arabian Grand Prix,12 Feb 2023,Feb-23,13 Feb 2023,Feb-23,stc Jeddah WH,Royal,21.631547,39.10799,Formula 1 Parking Area,,21.648173,39.110861,40.0,Half,West,West,Ericsson,Tabuk,ON-AIR
COW005,Normal,,,NON EBU,,,,,,,WH,18 Aug 2022,Aug-22,18 Aug 2022,Aug-22,Jeddah season,WH,21.82289,39.16245,stc Jeddah WH,,21.631547,39.10799,50.0,Half,West,West,Ericsson,Makkah,ON-AIR
COW005,VIP,,,NON EBU,,,,,,,WH,13 Jul 2021,Jul-21,13 Jul 2021,Jul-21,National Security Guard Near ZJD587 Jeddah,WH,22.31726,39.14901,stc Jeddah WH,,21.631547,39.10799,110.0,Half,West,West,Ericsson,Ar Riyad,OFF-AIR
COW005,VIP,,,NON EBU,,,,,,,Other,13 Apr 2023,Apr-23,13 Apr 2023,Apr-23,stc Jeddah WH,Other,21.631547,39.10799,Jeddah Ookla Location,,21.8653,39.183752,70.0,Half,West,West,Ericsson,Ar Riyad,ON-AIR
COW005,VIP,,,NON EBU,,,,,,,Jeddah Season,25 Apr 2022,Apr-22,25 Apr 2022,Apr-22,stc Jeddah WH,Event,21.631547,39.10799,Jeddah season,Jeddah Season,21.82289,39.16245,40.0,Half,West,West,Ericsson,Ar Riyad,OFF-AIR
COW005,Normal,,,NON EBU,,,,,,,WH,25 Jun 2025,Jun-25,25 Jun 2025,Jun-25,stc Al Kaj WH,WH,24.1184,47.267387,ACES Muzahmiya WH,,24.51704,46.26763,200.0,Zero,Central,Central,Ericsson,Makkah,OFF-AIR
COW005,VIP,,,NON EBU,,,,,,,WH,17 Mar 2024,Mar-24,18 Mar 2024,Mar-24,Jeddah Ookla Location,WH,21.8653,39.183752,stc Jeddah WH,,21.631547,39.10799,50.0,Half,West,West,Ericsson,Ar Riyad,OFF-AIR
COW005,VVIP,,,NON EBU,,,,,,,Other,26 Mar 2024,Mar-24,26 Mar 2024,Mar-24,stc Jeddah WH,Other,21.458816,39.211939,Shati Jeddah (MOI),,21.593189,39.12074,30.0,Half,West,West,Ericsson,Ar Riyad,ON-AIR
COW011,Normal,,,NON EBU,,,,,,,Other,21 May 2021,May-21,22 May 2021,May-21,ACES Muzahmiya WH,Royal,24.51704,46.26763,Prince Camp,,24.726278,46.560332,130.0,Half,Central,Central,Ericsson,Makkah,OFF-AIR
COW011,Normal,,,NON EBU,,,,,,,MDLBEAST Festival,4 Dec 2021,Dec-21,4 Dec 2021,Dec-21,Riyadh Season WWL Exit4,Event,24.772761,46.641907,MDL Beast,MDL Beast,24.998439,46.505358,40.0,Full,Central,Central,Ericsson,Tabuk,OFF-AIR
COW011,Normal,,,EBU,,,,,,,Other,30 Dec 2021,Dec-21,30 Dec 2021,Dec-21,MDL Beast,Other,24.998439,46.505358,Car Show Dirab Road,,24.463196,46.578531,120.0,Full,Central,Central,Ericsson,Ash Sharqiyah,ON-AIR
COW011,Normal,,,EBU,,,,,,,WH,1 Jun 2021,Jun-21,1 Jun 2021,Jun-21,Wadi Hanifa Prince Camp,WH,24.726278,46.560332,stc EXIT 18 Riyad  WH,,24.49375,46.91106,30.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW011,Normal,,,NON EBU,,,,,,,WH,6 May 2022,May-22,6 May 2022,May-22,THAG PLAZA,WH,24.754962,46.587169,stc Jeddah WH,,21.631547,39.10799,1100.0,Half,Central,West,Ericsson,Ash Sharqiyah,ON-AIR
COW011,Normal,,,Royal,,,,,,,WH,11 Jan 2023,Jan-23,11 Jan 2023,Jan-23,MDL Beast 2022,WH,24.998107,46.510896,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW011,Normal,,,NON EBU,,,,,,,Riyadh Season,12 Oct 2022,Oct-22,12 Oct 2022,Oct-22,ACES Muzahmiya WH,Event,24.51704,46.26763,Riyadh Season,Riyadh Season,24.78417,46.610963,80.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW011,VVVIP,,,NON EBU,,,,,,,Other,14 Apr 2023,Apr-23,14 Apr 2023,Apr-23,stc Jeddah WH,Other,21.631547,39.10799,Jeddah Ookla Location,,21.29935,39.26773,55.0,Half,West,West,Ericsson,Asir,ON-AIR
COW011,Normal,,,EBU,,,,,,,MDLBEAST Festival,14 Nov 2022,Nov-22,14 Nov 2022,Nov-22,Riyadh Season Boulivord openning Ceremony,Event,24.78417,46.610963,MDL Beast,MDL Beast,24.998107,46.510896,40.0,Full,Central,Central,Ericsson,Ar Riyad,OFF-AIR
COW011,Normal,,,NON EBU,,,,,,,Riyadh Season,31 Aug 2021,Aug-21,31 Aug 2021,Aug-21,stc EXIT 18 Riyad WH,Event,24.49375,46.91106,Riyadh Season,Riyadh Season,24.772761,46.641907,130.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW011,Normal,,,NON EBU,,,,,,,Riyadh Season,31 Aug 2021,Aug-21,31 Aug 2021,Aug-21,stc EXIT 18 Riyad WH,Event,24.49375,46.91106,Riyadh Season,Riyadh Season,24.772761,46.641907,130.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW011,Normal,,,EBU,,,,,,,WH,4 Apr 2022,Apr-22,4 Apr 2022,Apr-22,Car Show Dirab Road,WH,24.463196,46.578531,ACES Muzahmiya WH,,24.51704,46.26763,180.0,Half,Central,Central,Ericsson,Al Jawf,ON-AIR
COW011,Normal,,,NON EBU,,,,,,,WH,8 Apr 2023,Apr-23,8 Apr 2023,Apr-23,ACES Muzahmiya WH,WH,24.51704,46.26763,stc Jeddah WH,,21.631547,39.10799,900.0,Zero,Central,West,Ericsson,Makkah,ON-AIR
COW011,Normal,,,NON EBU,,,,,,,WH,2 Oct 2022,Oct-22,3 Oct 2022,Oct-22,stc Jeddah WH,WH,21.631547,39.10799,ACES Muzahmiya WH,,24.51704,46.26763,900.0,Zero,West,Central,Ericsson,Makkah,ON-AIR
COW011,Normal,,,EBU,,,,,,,Other,26 Apr 2022,Apr-22,26 Apr 2022,Apr-22,ACES Muzahmiya WH,Other,24.51704,46.26763,THAG PLAZA,,24.754962,46.587169,180.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW011,VIP,,,NON EBU,,,,,,,WH,31 Mar 2021,Mar-21,31 Mar 2021,Mar-21,Durma ACES,WH,24.64681,46.21547,ACES Muzahmiya WH,,24.51704,46.26763,5.0,Half,Central,Central,Ericsson,Tabuk,ON-AIR
COW012,Normal,,,NON EBU,,,,,,,Other,22 Mar 2024,Mar-24,22 Mar 2024,Mar-24,Wonder Garden Riyadh Season-2023,Other,24.804232,46.57812,Prince Turki Bin Abdulaziz Al Awal Raod,,24.808341,46.579493,0.5,Full,Central,Central,Ericsson,Ar Riyad,OFF-AIR
COW012,Normal,,,NON EBU,,,,,,,Riyadh Season,22 Jun 2024,Jun-24,23 Jun 2024,Jun-24,ACES  Muzahmiya WH,Other,24.51704,46.26763,Boulevard E Sport,,24.76832,46.60879,75.0,Half,Central,Central,Ericsson,Al Madinah,OFF-AIR
COW012,Normal,,,NON EBU,,,,,,,Other,17 Jul 2024,Jul-24,17 Jul 2024,Jul-24,ACES  Muzahmiya WH,Royal,24.51704,46.26763,Yamama Palace,,24.665044,46.65332,80.0,Half,Central,Central,Ericsson,Najran,ON-AIR
COW012,Normal,,,NON EBU,,,,,,,Riyadh Season,26 Aug 2021,Aug-21,27 Aug 2021,Aug-21,ACES Muzahmiya WH,Event,24.51704,46.26763,Riyadh Season,Riyadh Season,24.768629,46.646756,130.0,Half,Central,Central,Ericsson,Ar Riyad,OFF-AIR
COW012,VIP,,,NON EBU,,,,,,,Other,11 Jun 2023,Jun-23,11 Jun 2023,Jun-23,Riyadh Season WWL Exit4,Other,24.768629,46.646756,KAFD,,24.76526,46.643817,3.0,Full,Central,Central,Ericsson,Makkah,OFF-AIR
COW012,VIP,,,Royal,,,,,,,Riyadh Season,29 Oct 2023,Oct-23,29 Oct 2023,Oct-23,ACES Muzahmiya WH,Event,24.51704,46.26763,Riyadh Season,Riyadh Season,24.804232,46.57812,70.0,Half,Central,Central,Ericsson,Tabuk,OFF-AIR
COW012,VIP,,,EBU,,,,,,,WH,25 Jun 2025,Jun-25,25 Jun 2025,Jun-25,stc Al Kaj WH,WH,24.1184,47.267387,ACES Muzahmiya WH,,24.51704,46.26763,200.0,Zero,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW012,Normal,,,NON EBU,,,,,,,WH,25 May 2024,May-24,25 May 2024,May-24,Wonder Garden Riyadh Season-2023,WH,24.804232,46.57812,ACES Muzahmiya WH,,24.51704,46.26763,120.0,Half,Central,Central,Ericsson,Tabuk,ON-AIR
COW012,VIP,,,NON EBU,,,,,,,WH,31 Mar 2021,Mar-21,31 Mar 2021,Mar-21,Durma ACES,WH,24.64681,46.21547,ACES Muzahmiya WH,,24.51704,46.26763,0.015,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW014,Normal,,,NON EBU,,,,,,,Riyadh Season,4 Oct 2021,Oct-21,4 Oct 2021,Oct-21,ACES Muzahmiya WH,Event,24.51704,46.26763,Riyadh Season,Riyadh Season,24.783808,46.605751,120.0,Full,Central,Central,Ericsson,Ash Sharqiyah,ON-AIR
COW014,Normal,,,NON EBU,,,,,,,Other,5 Jul 2022,Jul-22,5 Jul 2022,Jul-22,stc Jeddah WH,Other,21.631547,39.10799,Ritz Carlton,,21.52041,39.15416,50.0,Half,West,West,Ericsson,Makkah,ON-AIR
COW014,Normal,,,NON EBU,,,,,,,MDLBEAST Festival – Jeddah,7 Dec 2022,Dec-22,7 Dec 2022,Dec-22,stc Jeddah WH,Other,21.631547,39.10799,Balad Beast Jeddah,,21.489939,39.18555,35.0,Half,West,West,Ericsson,Makkah,ON-AIR
COW014,Normal,,,NON EBU,,,,,,,WH,4 Jul 2022,Jul-22,4 Jul 2022,Jul-22,Jeddah Season City Walk,WH,21.631887,39.107769,stc Jeddah WH,,21.631547,39.10799,30.0,Half,West,West,Ericsson,Ar Riyad,ON-AIR
COW014,Normal,,,NON EBU,,,,,,,Other,12 Apr 2023,Apr-23,12 Apr 2023,Apr-23,stc Jeddah WH,Other,21.631547,39.10799,Jeddah Ookla Location,,21.55058,39.287873,40.0,Half,West,West,Ericsson,Ar Riyad,ON-AIR
COW014,Normal,,,NON EBU,,,,,,,Formula 1 Saudi Arabian Grand Prix,13 Feb 2023,Feb-23,13 Feb 2023,Feb-23,stc Jeddah WH,Event,21.631547,39.10799,Formula 1 Saudi Arabian Grand Prix,Formula 1 Saudi Arabian Grand Prix,21.631,39.1059,40.0,Half,West,West,Ericsson,Ar Riyad,ON-AIR
COW014,VIP,,,NON EBU,,,,,,,WH,10 Dec 2022,Dec-22,10 Dec 2022,Dec-22,Balad Beast Jeddah,WH,21.489939,39.18555,stc Jeddah WH,,21.631547,39.10799,35.0,Half,West,West,Ericsson,Makkah,ON-AIR
COW014,Normal,,,NON EBU,,,,,,,Formula 1 Saudi Arabian Grand Prix,23 Nov 2021,Nov-21,23 Nov 2021,Nov-21,stc Jeddah WH,Event,21.631547,39.10799,Formula 1 Saudi Arabian Grand Prix,Formula 1 Saudi Arabian Grand Prix,21.631565,39.106693,20.0,Half,West,West,Ericsson,Ar Riyad,OFF-AIR
COW014,Normal,,,NON EBU,,,,,,,Formula 1 Saudi Arabian Grand Prix,15 Feb 2023,Feb-23,15 Feb 2023,Feb-23,Formula 1 Grand Stands,Event,21.631,39.1059,Formula 1 Saudi Arabian Grand Prix,Formula 1 Saudi Arabian Grand Prix,21.631109,39.105839,0.04,Full,West,West,Ericsson,Makkah,ON-AIR
COW014,VVVIP,,,NON EBU,,,,,,,WH,26 Jul 2022,Jul-22,26 Jul 2022,Jul-22,Ritz Carlton,WH,21.52041,39.15416,stc Jeddah WH,,21.631547,39.10799,50.0,Half,West,West,Ericsson,Ar Riyad,ON-AIR
COW014,Normal,,,NON EBU,,,,,,,WH,4 Apr 2022,Apr-22,4 Apr 2022,Apr-22,F1 Jeddah   Main Grandstand,WH,21.631088,39.105809,stc Jeddah WH,,21.631547,39.10799,55.0,Half,West,West,Ericsson,Ar Riyad,OFF-AIR
COW014,VIP,,,EBU,,,,,,,WH,31 Mar 2023,Mar-23,31 Mar 2023,Mar-23,Formula 1 Grand Stands,WH,21.631109,39.105839,stc Jeddah WH,,21.631547,39.10799,40.0,Half,West,West,Ericsson,Ar Riyad,OFF-AIR
COW014,Normal,,,EBU,,,,,,,Jeddah Season,25 Apr 2022,Apr-22,25 Apr 2022,Apr-22,stc Jeddah WH,Event,21.631547,39.10799,Jeddah Season,Jeddah Season,21.631887,39.107769,40.0,Half,West,West,Ericsson,Makkah,ON-AIR
COW014,Normal,,,EBU,,,,,,,WH,17 Nov 2021,Nov-21,18 Nov 2021,Nov-21,Riyadh Season Ceremony,WH,24.783808,46.605751,stc Jeddah WH,,21.631547,39.10799,1010.0,Half,Central,West,Ericsson,Ar Riyad,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,WH,1 Mar 2025,Mar-25,1 Mar 2025,Mar-25,Al Qasab Salt Season event,WH,25.299465,45.508152,ACES Muzahmiya WH,,24.51704,46.26763,180.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,4 Aug 2025,Aug-25,4 Aug 2025,Aug-25,ACES  Muzahmiya WH,Event,24.51704,46.26763,Shaqra event,Shaqra event,25.237178,45.243736,200.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,30 Aug 2025,Aug-25,30 Aug 2025,Aug-25,Riyadh Coverage  - COW1,Other,24.509701,46.745511,AL Fursan location 1,,24.956216,46.82444,50.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,WH,3 May 2025,May-25,3 May 2025,May-25,Prince Sattam University,WH,24.1457,47.272306,ACES Muzahmiya WH,,24.51704,46.26763,170.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,7 Nov 2023,Nov-23,7 Nov 2023,Nov-23,Gulf Club,Other,24.95936,46.581606,Wonder Garden,,24.802077,46.582592,30.0,Full,Central,Central,Ericsson,Makkah,OFF-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,14 Apr 2025,Apr-25,14 Apr 2025,Apr-25,Al Kharj Eid Celebration,Other,24.184932,47.368108,Prince Sattam University,,24.1457,47.272306,10.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,WH,14 Aug 2025,Aug-25,15 Aug 2025,Aug-25,Shaqra,WH,,,ACES Muzahmiya WH,,24.51704,46.26763,200.0,Half,Central,Central,Ericsson,Al Bahah,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,WH,6 Jun 2023,Jun-23,6 Jun 2023,Jun-23,EXIT10 SVP Area,WH,24.750400,46.732328,ACES Muzahmiya WH,,24.51704,46.26763,70.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW015,Normal,,,EBU,,,,,,,Other,26 Oct 2023,Oct-23,25 Oct 2023,Oct-23,ACES Muzahmiya WH,Other,24.517040,46.267630,Gulf Club,,24.95936,46.581606,70.0,Half,Central,Central,Ericsson,Tabuk,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,WH,18 Feb 2025,Feb-25,18 Feb 2025,Feb-25,Al Khuzama District Riyadh,WH,24.724803,46.598764,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,26 May 2021,May-21,26 May 2021,May-21,stc EXIT 18 Riyad WH,Other,24.493750,46.911060,EXIT10 SVP Area,,24.7504,46.732328,60.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,26 May 2021,May-21,26 May 2021,May-21,stc EXIT 18 Riyad WH,Other,24.493750,46.911060,EXIT10 SVP Area,,24.7504,46.732328,60.0,Half,Central,Central,Ericsson,Ash Sharqiyah,Burned
COW015,VIP,,,NON EBU,,,,,,,Other,29 Aug 2025,Aug-25,29 Aug 2025,Aug-25,ACES  Muzahmiya WH,Other,24.517040,46.267630,Riyadh Coverage  - COW1,,24.509701,46.745511,120.0,Half,Central,Central,Ericsson,Ar Riyad,Burned
COW015,VIP,,,NON EBU,,,,,,,WH,25 May 2021,May-21,25 May 2021,May-21,Remal Al Malqa Area,WH,24.78539,46.60020,stc EXIT 18 Riyad  WH,,24.49375,46.91106,120.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,25 Mar 2025,Mar-25,25 Mar 2025,Mar-25,ACES  Muzahmiya WH,Other,24.517040,46.267630,Al Kharj Eid Celebration,,24.184932,47.368108,150.0,Half,Central,Central,Ericsson,Jizan,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,22 Sep 2023,Sep-23,22 Sep 2023,Sep-23,ACES Muzahmiya WH,Event,24.517040,46.267630,ND AIR SHOW,ND AIR SHOW,24.8472,46.5777,80.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW015,VIP,,,NON EBU,,,,,,,WH,23 May 2024,May-24,23 May 2024,May-24,Wonder Garden,WH,24.80208,46.58259,ACES Muzahmiya WH,,24.51704,46.26763,120.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,14 Oct 2025,Oct-25,14 Oct 2025,Oct-25,AL Fursan,Other,24.956216,46.824440,AL Fursan,,24.956216,46.82444,0.1,Full,Central,Central,Ericsson,Makkah,Burned
COW015,VIP,,,NON EBU,,,,,,,WH,29 Sep 2023,Sep-23,29 Sep 2023,Sep-23,ND AIR SHOW,WH,24.847200,46.577700,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Ar Riyad,OFF-AIR
COW015,VIP,,,NON EBU,,,,,,,Other,24 Feb 2025,Feb-25,25 Feb 2025,Feb-25,ACES  Muzahmiya WH,Event,24.517040,46.267630,Al Qasab Salt Season event,Al Qasab Salt Season event,25.299465,45.508152,210.0,Half,Central,Central,Ericsson,Ar Riyad,OFF-AIR
COW015,Normal,,,NON EBU,,,,,,,Other,13 Aug 2024,Aug-24,13 Aug 2024,Aug-24,ACES  Muzahmiya WH,Other,24.517040,46.267630,Al Khuzama District Riyadh,,24.724803,46.598764,60.0,Half,Central,Central,Ericsson,Ash Sharqiyah,ON-AIR
COW016,Normal,,,NON EBU,,,,,,,Equestrian Event,17 Oct 2023,Oct-23,17 Oct 2023,Oct-23,ACES Muzahmiya WH,Other,24.51704,46.26763,Arabian Horse Clube Dirab,,24.4189072,46.5983106,40.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW016,Normal,,,EBU,,,,,,,WH,5 Jul 2023,Jul-23,5 Jul 2023,Jul-23,King Abdul Aziz Military College,WH,24.928950,46.381716,ACES Muzahmiya WH,,24.51704,46.26763,100.0,Half,Central,Central,Ericsson,Al Madinah,ON-AIR
COW016,VIP,,,NON EBU,,,,,,,WH,5 Sep 2021,Sep-21,5 Sep 2021,Sep-21,Dirab Satellite Center,WH,24.425289,46.586676,ACES Muzahmiya WH,,24.51704,46.26763,40.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW016,Normal,,,NON EBU,,,,,,,WH,11 Jan 2023,Jan-23,11 Jan 2023,Jan-23,MDL Beast 2022,WH,24.994001,46.514195,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Ash Sharqiyah,ON-AIR
COW016,Normal,,,EBU,,,,,,,WH,5 Jun 2023,Jun-23,5 Jun 2023,Jun-23,King Abdul Aziz Military College,WH,24.928950,46.381716,ACES Muzahmiya WH,,24.51704,46.26763,100.0,Half,Central,Central,Ericsson,Al Hudud ash Shamaliyah,In Progress
