cow_id,site_label,ebu_royal,region,district,city,remote_and_metropolitan,location,latitude,longitude,site_status,last_deploying_date,1st_deploying_date,vendor,2g_3g_lte_5g,shelter_outdoor
COW002,Normal,EBU,Central,Riyadh City,Riyadh City,Metropolitan,Salbuk are MOI Medical City,24.902333,46.526439,ON-AIR,1-Mar-16,1-Apr-13,Ericsson,2G/LTE,Shelter
COW013,Normal,EBU,Central,Riyadh District,Riyadh District,Remote,Qiddiyah Area,24.556721,46.28677,ON-AIR,28-Jan-20,10-Nov-19,Ericsson,2G/LTE,Outdoor
,,,,,,,,,,,,,,,
COW310,Normal,EBU,EAST,NORTHERN BORDER,ARAR,Remote,Arar Military Camp ,31.53616,40.671320,ON-AIR,13-Feb-19,1-Apr-13,Huawei,2G/LTE,Shelter
COW511,VIP,EBU,Central,Riyadh District,Wadi Dawaseer,Remote,ARMY Camp Al sulayiel,20.78241,45.79936,ON-AIR,24-Nov-13,1-Apr-13,Ericsson,2G/LTE,Shelter
COW522,VIP,NON EBU,WEST,JEDDAH,JEDDAH,Metropolitan,Red Sea Mall Event,21.63269,39.115680,ON-AIR,25-May-21,1-Apr-13,Ericsson,2G/LTE,Outdoor
COW600,VIP,EBU,Central,Riyadh City,Riyadh City,Metropolitan,Salbouk Road Army Camp,24.86842,46.56649,ON-AIR,26-Oct-19,1-Apr-13,Ericsson,2G/LTE,Shelter
COW542,Normal,EBU,Central,Riyadh District,Durma,Remote,PRINCE NAIF CENTER FOR SPECIAL OPERATION(DURMA),24.71627,46.09091,ON-AIR,29-Apr-15,1-Apr-13,Ericsson,2G,Shelter
COW543,Normal,NON EBU,EAST,Al-AHSA,Hofuf,Remote,Garhash Village Abqaiq,25.9558,49.569720,ON-AIR,21-May-18,12-Aug-18,Huawei,2G/LTE,Shelter
COW601,Normal,EBU,EAST,Al-AHSA,Hofuf,Remote,SHAYBAH ARAMCO,22.430492,53.976356,ON-AIR,11-Apr-14,1-Apr-13,Huawei,2G,Shelter
COW621,Normal,NON EBU,Central,Riyadh District,Riyadh District,Remote,WADI NISSAH - prince Ahmed Bin Abdul-Aziz Farm,24.42355,46.37908,ON-AIR,1-Jan-14,1-Apr-13,Ericsson,2G/LTE,Outdoor
COW714,VIP,NON EBU,Central,Riyadh City,Riyadh City,Metropolitan,Dewan Al-Maliki FRONT OF DIPLOMATIC QUARTER,24.67543,46.64043,ON-AIR,19-Feb-14,1-Apr-13,Ericsson,2G/LTE,Shelter
COW632,Normal,EBU,Central,Riyadh City,Riyadh City,Metropolitan,MOD Riyadh,24.66057,46.67427,ON-AIR,2-Apr-19,1-Apr-13,Ericsson,2G/LTE,Shelter
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
COW641,VIP,NON EBU,EAST,DAMMAM,DAMMAM,Metropolitan,PETROLEUM UNIVERSITY DHAHRAN,26.296738,50.159038,ON-AIR,16-Dec-13,1-Apr-13,Huawei,2G/LTE,Shelter
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
COW655,Normal,EBU,EAST,DAMMAM,DAMMAM,Metropolitan,King Abdu Aziz Airbase Housing Dhahran,26.2322,50.110990,ON-AIR,4-Apr-18,18-Nov-13,Huawei,2G/LTE,Shelter
COW729,VIP,NON EBU,Central,Riyadh City,Riyadh City,Metropolitan,King Abdulaziz conference palace /Ritz Hotel,24.669031,46.630623,ON-AIR,8-May-17,16-Oct-14,Ericsson,2G/LTE/5G,Shelter
COW732,VIP,NON EBU,Central,Riyadh City,Riyadh City,Metropolitan,Nakheel mall Imam Saud bin Abdul Aziz Road,24.769476,46.717529,ON-AIR,13-Feb-18,17-Nov-14,Ericsson,2G/LTE/5G,Shelter
COW739,VIP,EBU,Central,Riyadh District,Riyadh District,Remote,Jillah Farm,24.70187,45.59598,ON-AIR,20-Nov-18,2-Jan-15,Ericsson,2G/LTE/5G,Shelter
COW720,Normal,NON EBU,Central,Riyadh City,Riyadh City,Metropolitan,King SALMAN ROAD/NEAR CHECK POINT,24.84925,46.66972,ON-AIR,17-Jun-13,1-Apr-13,Ericsson,2G/LTE/5G,Shelter
COW725,Normal,EBU,Central,Riyadh City,Riyadh City,Metropolitan,Prince Naïf Military Academy Dammam road,24.892043,46.921048,ON-AIR,1-Jun-16,1-Apr-13,Ericsson,2G/LTE,Shelter
COW742,Normal,EBU,Central,Riyadh District,Riyadh District,Remote,Qiddiyah Area,24.5304,46.40582,ON-AIR,17-Jul-20,8-Feb-15,Ericsson,2G/LTE,Shelter
